HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;S;CAMELLE;9.900;;0.000
HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;M;CAMELLE;9.900;;153.000
HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;L;CAMELLE;9.900;;0.000
HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;XL;CAMELLE;9.900;;155.000
HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;XXL;CAMELLE;9.900;;0.000
HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;XXXL;CAMELLE;9.900;;0.000
HIVER 2021;82210009;BONNET;;Bonnet en laine avec ponpon--;BONNET;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;BONNET;;ESSENTIEL;;;COLLECTION;4,23E+12;STD;CAMELLE;29.423;;0.000
HIVER 2021;82210009;BONNET;;Bonnet en laine avec ponpon--;BONNET;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;BONNET;;ESSENTIEL;;;COLLECTION;4,23E+12;STD;NOIR;29.423;;0.000
HIVER 2021;82210009;BONNET;;Bonnet en laine avec ponpon--;BONNET;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;BONNET;;ESSENTIEL;;;COLLECTION;4,23E+12;STD;BEIGE;29.423;;0.000
HIVER 2021;82210009;BONNET;;Bonnet en laine avec ponpon--;BONNET;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;BONNET;;ESSENTIEL;;;COLLECTION;4,23E+12;STD;ROSE POUDRE;29.423;;0.000
HIVER 2021;82210010;CACHE-COL;;Cache-col  avec ponpon--;ECHARPE;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;ECHARPE;;ESSENTIEL;LAINE;;COLLECTION;4,23E+12;STD;CAMELLE;24.900;;0.000
HIVER 2021;82210010;CACHE-COL;;Cache-col  avec ponpon--;ECHARPE;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;ECHARPE;;ESSENTIEL;LAINE;;COLLECTION;4,23E+12;STD;NOIR;24.900;;0.000
HIVER 2021;82210010;CACHE-COL;;Cache-col  avec ponpon--;ECHARPE;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;ECHARPE;;ESSENTIEL;LAINE;;COLLECTION;4,23E+12;STD;BEIGE;24.900;;0.000
HIVER 2021;82210010;CACHE-COL;;Cache-col  avec ponpon--;ECHARPE;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;ECHARPE;;ESSENTIEL;LAINE;;COLLECTION;4,23E+12;STD;ROSE POUDRE;24.900;;0.000
HIVER 2021;82210201;SAC FEMME;;Sac carre imprime--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;SAC;;;CHAINE ET TRAME;;ACCESSOIRE;4,23E+12;STD;NOIR;24.900;;74.000
HIVER 2021;82210201;SAC FEMME;;Sac carre imprime--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;SAC;;;CHAINE ET TRAME;;ACCESSOIRE;4,23E+12;STD;VERT;24.900;;79.000
HIVER 2021;82210201;SAC FEMME;;Sac carre imprime--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;SAC;;;CHAINE ET TRAME;;ACCESSOIRE;4,23E+12;STD;BLEU NUIT;24.900;;77.000
HIVER 2021;82210201;SAC FEMME;;Sac carre imprime--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;SAC;;;CHAINE ET TRAME;;ACCESSOIRE;4,23E+12;STD;SAUMON;24.900;;74.000
HIVER 2021;82210202;SAC FEMME;;Sac avec lacet--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;LACET;VIDE;;SAC;;;CHAINE ET TRAME;;EXTRA;4,23E+12;STD;PAT;19.900;;96.000
